"date","value"
"2017-01",58
"2017-02",62
"2017-03",55
"2017-04",69
"2017-05",85
"2017-06",103
"2017-07",135
"2017-08",192
"2017-09",277
"2017-10",348
"2017-11",298
"2017-12",299
"2018-01",346
"2018-02",265
"2018-03",260
"2018-04",274
"2018-05",294
"2018-06",260
"2018-07",266
"2018-08",272
"2018-09",299
"2018-10",311
"2018-11",287
"2018-12",374
"2019-01",257
"2019-02",264
"2019-03",270
"2019-04",256
"2019-05",283
"2019-06",302
"2019-07",284
"2019-08",278
"2019-09",289
"2019-10",378
"2019-11",346
"2019-12",321
"2020-01",323
"2020-02",320
"2020-03",192
"2020-04",112
"2020-05",176
"2020-06",176
"2020-07",195
"2020-08",197
"2020-09",183
"2020-10",205
"2020-11",168
"2020-12",150
"2021-01",155
"2021-02",135
"2021-03",178
"2021-04",156
"2021-05",194
"2021-06",212
"2021-07",204
"2021-08",240
"2021-09",259
"2021-10",277
"2021-11",235
"2021-12",232
"2022-01",193
"2022-02",192
"2022-03",194
"2022-04",177
"2022-05",188
"2022-06",203
"2022-07",219
"2022-08",251
"2022-09",252
"2022-10",307
